   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-855s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-254s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-554s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-854s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-254s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-554s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-854s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-253s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-553s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-853s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-253s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-553s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-853s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-252s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-552s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-852s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-252s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-552s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-852s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-251s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-551s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-851s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-251s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-551s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-851s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-250s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-550s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-850s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-250s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-550s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-850s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-249s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-549s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-849s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-249s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-549s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-849s | ACTIVE
